tweet_id,airline_sentiment,airline_sentiment_confidence,negative_reason,negative_reason_confidence,airline,name,retweet_count,text,tweet_created,tweet_location,user_timezone,day,hour,minute,second,fractional_hour,hour_sin,hour_cos
570306133677760513,0,1.0,0,0.0,0,cairdin,0,@VirginAmerica What @dhepburn said.,2015-02-24 11:35:52-08:00,Unknown,Eastern Time (US & Canada),24,11,35,52,11.597777777777779,0.10510703493071005,-0.9944609148720097
570301130888122368,1,0.3486,0,0.0,0,jnardino,0,@VirginAmerica plus you've added commercials to the experience... tacky.,2015-02-24 11:15:59-08:00,Unknown,Pacific Time (US & Canada),24,11,15,59,11.266388888888889,0.1908803808151787,-0.9816133048302943
570301083672813571,0,0.6837,0,0.0,0,yvonnalynn,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,2015-02-24 11:15:48-08:00,Lets Play,Central Time (US & Canada),24,11,15,48,11.263333333333334,0.19166555393205473,-0.9814602974323101
570301031407624196,2,1.0,1,0.7033,0,jnardino,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",2015-02-24 11:15:36-08:00,Unknown,Pacific Time (US & Canada),24,11,15,36,11.26,0.1925219665259075,-0.9812926639922451
570300817074462722,2,1.0,2,1.0,0,jnardino,0,@VirginAmerica and it's a really big bad thing about it,2015-02-24 11:14:45-08:00,Unknown,Pacific Time (US & Canada),24,11,14,45,11.245833333333332,0.19616007650871092,-0.9805718863928828
570300767074181121,2,1.0,2,0.6842,0,jnardino,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",2015-02-24 11:14:33-08:00,Unknown,Pacific Time (US & Canada),24,11,14,33,11.2425,0.19701571210638696,-0.9804003310807342
570300616901320704,1,0.6745,0,0.0,0,cjmcginnis,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",2015-02-24 11:13:57-08:00,San Francisco CA,Pacific Time (US & Canada),24,11,13,57,11.2325,0.1995817160773618,-0.9798811859647145
570300248553349120,0,0.634,0,0.0,0,pilot,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",2015-02-24 11:12:29-08:00,Los Angeles,Pacific Time (US & Canada),24,11,12,29,11.208055555555555,0.20584837586579308,-0.9785838983722424
570299953286942721,1,0.6559,0,0.0,0,dhepburn,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",2015-02-24 11:11:19-08:00,San Diego,Pacific Time (US & Canada),24,11,11,19,11.188611111111111,0.2108272112683429,-0.9775233434495636
570295459631263746,1,1.0,0,0.0,0,YupitsTate,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",2015-02-24 10:53:27-08:00,Los Angeles,Eastern Time (US & Canada),24,10,53,27,10.890833333333333,0.2863155268285557,-0.9581353866217898
